Quarter,BG Group,HBB L1,HBB L2,Geo,Segment,Fiscal Year,Fiscal Quarter,Final
Revenue $M,IDG,GPS,Support Services,LA,CONS,FY24/25,Q4,1.3106541
Revenue $M,IDG,GPS,Support Services,LA,CONS,FY25/26,Q1ACT,1.5693304
Revenue $M,IDG,GPS,Support Services,LA,CONS,FY25/26,Q2ACT,2.7252040999999996
Revenue $M,IDG,GPS,Support Services,LA,CONS,FY25/26,Q3M1,1.9796703999999998
Revenue $M,IDG,GPS,Support Services,LA,CONS,FY25/26,Q4MT,1.8449907999999995
Revenue $M,IDG,GPS,Support Services,LA,Others,FY23/24,Q1,0.0009765
Revenue $M,IDG,GPS,Support Services,LA,Others,FY23/24,Q2,0.0034048999999999998
Revenue $M,IDG,GPS,Support Services,LA,Others,FY23/24,Q3,0.0011987
Revenue $M,IDG,GPS,Support Services,LA,Others,FY23/24,Q4,-9.000000000000004e-07
Revenue $M,IDG,GPS,Support Services,LA,Others,FY24/25,Q1,6.000000000000003e-07
Revenue $M,IDG,GPS,Support Services,LA,Others,FY24/25,Q2,-6.4e-06
Revenue $M,IDG,GPS,Support Services,LA,Others,FY24/25,Q3,-4.900000000000002e-06
Revenue $M,IDG,GPS,Support Services,LA,Others,FY24/25,Q4,-4.4e-06
Revenue $M,IDG,GPS,Configuration Services,AP,REL,FY23/24,Q1,4.4159712
Revenue $M,IDG,GPS,Configuration Services,AP,REL,FY23/24,Q2,6.408891900000001
Revenue $M,IDG,GPS,Configuration Services,AP,REL,FY23/24,Q3,7.097700100000001
Revenue $M,IDG,GPS,Configuration Services,AP,REL,FY23/24,Q4,5.195369899999999
Revenue $M,IDG,GPS,Configuration Services,AP,REL,FY24/25,Q1,6.059754100000002
Revenue $M,IDG,GPS,Configuration Services,AP,REL,FY24/25,Q2,9.2439757
Revenue $M,IDG,GPS,Configuration Services,AP,REL,FY24/25,Q3,12.1252344
Revenue $M,IDG,GPS,Configuration Services,AP,REL,FY24/25,Q4,8.7492613
Revenue $M,IDG,GPS,Configuration Services,AP,REL,FY25/26,Q1ACT,10.977275399999998
Revenue $M,IDG,GPS,Configuration Services,AP,REL,FY25/26,Q2ACT,10.663086900000001
Revenue $M,IDG,GPS,Configuration Services,AP,REL,FY25/26,Q3M1,11.0817249
Revenue $M,IDG,GPS,Configuration Services,AP,REL,FY25/26,Q4MT,11.3692849
Revenue $M,IDG,GPS,Configuration Services,AP,SMB,FY23/24,Q1,0.8921474000000001
Revenue $M,IDG,GPS,Configuration Services,AP,SMB,FY23/24,Q2,0.9095523000000001
Revenue $M,IDG,GPS,Configuration Services,AP,SMB,FY23/24,Q3,0.8582885999999998
Revenue $M,IDG,GPS,Configuration Services,AP,SMB,FY23/24,Q4,0.9822101
Revenue $M,IDG,GPS,Configuration Services,AP,SMB,FY24/25,Q1,1.1075509
Revenue $M,IDG,GPS,Configuration Services,AP,SMB,FY24/25,Q2,1.5062107999999998
Revenue $M,IDG,GPS,Configuration Services,AP,SMB,FY24/25,Q3,2.0330142999999996
Revenue $M,IDG,GPS,Configuration Services,AP,SMB,FY24/25,Q4,1.5989183
Revenue $M,IDG,GPS,Configuration Services,AP,SMB,FY25/26,Q1ACT,1.5228210999999998
Revenue $M,IDG,GPS,Configuration Services,AP,SMB,FY25/26,Q2ACT,1.6299612000000003
Revenue $M,IDG,GPS,Configuration Services,AP,SMB,FY25/26,Q3M1,1.5735629
Revenue $M,IDG,GPS,Configuration Services,AP,SMB,FY25/26,Q4MT,1.4653709000000001
Revenue $M,IDG,GPS,Configuration Services,AP,Others,FY23/24,Q1,2.775557561562891e-23
Revenue $M,IDG,GPS,Configuration Services,AP,Others,FY23/24,Q2,-5.999999999999999e-07
Revenue $M,IDG,GPS,Configuration Services,AP,Others,FY23/24,Q3,-9.000000000000001e-07
Revenue $M,IDG,GPS,Configuration Services,AP,Others,FY23/24,Q4,-1.0999999999999998e-06
Revenue $M,IDG,GPS,Configuration Services,AP,Others,FY24/25,Q1,-4.0000000000000003e-07
Revenue $M,IDG,GPS,Configuration Services,AP,Others,FY24/25,Q2,1.2e-06
Revenue $M,IDG,GPS,Configuration Services,AP,Others,FY24/25,Q3,-1.1e-06
Revenue $M,IDG,GPS,Configuration Services,AP,Others,FY24/25,Q4,-9.999999999999998e-08
Revenue $M,IDG,GPS,Configuration Services,AP,Others,FY25/26,Q1ACT,-5e-07
Revenue $M,IDG,GPS,Configuration Services,AP,Others,FY25/26,Q2ACT,-1.8000000000000001e-06
Revenue $M,IDG,GPS,Configuration Services,AP,Others,FY25/26,Q3M1,4e-07
Revenue $M,IDG,GPS,Configuration Services,AP,Others,FY25/26,Q4MT,0.09184339999999999
Revenue $M,IDG,GPS,Configuration Services,EMEA,REL,FY23/24,Q1,14.1597772
Revenue $M,IDG,GPS,Configuration Services,EMEA,REL,FY23/24,Q2,11.376973499999997
Revenue $M,IDG,GPS,Configuration Services,EMEA,REL,FY23/24,Q3,14.966234600000003
Revenue $M,IDG,GPS,Configuration Services,EMEA,REL,FY23/24,Q4,15.882494
Revenue $M,IDG,GPS,Configuration Services,EMEA,REL,FY24/25,Q1,15.592925099999999
Revenue $M,IDG,GPS,Configuration Services,EMEA,REL,FY24/25,Q2,15.409025399999999
Revenue $M,IDG,GPS,Configuration Services,EMEA,REL,FY24/25,Q3,20.576644600000005
Revenue $M,IDG,GPS,Configuration Services,EMEA,REL,FY24/25,Q4,22.33339689999999
Revenue $M,IDG,GPS,Configuration Services,EMEA,REL,FY25/26,Q1ACT,21.8999506
Revenue $M,IDG,GPS,Configuration Services,EMEA,REL,FY25/26,Q2ACT,20.831311500000005
Revenue $M,IDG,GPS,Configuration Services,EMEA,REL,FY25/26,Q3M1,26.966033399999997
Revenue $M,IDG,GPS,Configuration Services,EMEA,REL,FY25/26,Q4MT,21.468799399999998
Revenue $M,IDG,GPS,Configuration Services,EMEA,SMB,FY23/24,Q1,0.5369075
Revenue $M,IDG,GPS,Configuration Services,EMEA,SMB,FY23/24,Q2,0.7943526999999999
Revenue $M,IDG,GPS,Configuration Services,EMEA,SMB,FY23/24,Q3,0.9238898999999999
Revenue $M,IDG,GPS,Configuration Services,EMEA,SMB,FY23/24,Q4,0.9847887999999999
Revenue $M,IDG,GPS,Configuration Services,EMEA,SMB,FY24/25,Q1,1.0253041
Revenue $M,IDG,GPS,Configuration Services,EMEA,SMB,FY24/25,Q2,0.9682520999999998
Revenue $M,IDG,GPS,Configuration Services,EMEA,SMB,FY24/25,Q3,1.4655804999999997
